dataset_key,duplicate_keys,zotero_keys,data_source,study_code,tech_type,species_code,species,bird_id,age,sex,date_time,year,yday,week,week_date,season,x_coord,y_coord,grid_id,outlier
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4297,,,5/13/2014 7:00,2014,133,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4297,,,5/13/2014 7:03,2014,133,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4287,,,5/13/2014 7:04,2014,133,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4294,,,5/13/2014 8:00,2014,133,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4278,,,5/13/2014 8:30,2014,133,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4278,,,5/13/2014 8:30,2014,133,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4294,,,5/13/2014 8:31,2014,133,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/13/2014 9:40,2014,133,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/13/2014 10:05,2014,133,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4295,,,5/13/2014 10:15,2014,133,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4295,,,5/13/2014 10:18,2014,133,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4215,,,5/13/2014 13:12,2014,133,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4295,,,5/13/2014 19:32,2014,133,20,1000-05-19,spring,-83.22415,41.6252,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4295,,,5/13/2014 19:34,2014,133,20,1000-05-19,spring,-83.2313,41.611,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/14/2014 0:49,2014,134,20,1000-05-19,spring,-83.22415,41.6252,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/14/2014 0:52,2014,134,20,1000-05-19,spring,-83.2313,41.611,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/14/2014 0:56,2014,134,20,1000-05-19,spring,-83.23835,41.617,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4215,,,5/14/2014 6:45,2014,134,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4279,,,5/14/2014 8:15,2014,134,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4279,,,5/14/2014 8:15,2014,134,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4291,,,5/14/2014 8:45,2014,134,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4291,,,5/14/2014 8:45,2014,134,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/14/2014 9:00,2014,134,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/14/2014 9:02,2014,134,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/14/2014 10:30,2014,134,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4300,,,5/14/2014 16:19,2014,134,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4278,,,5/14/2014 19:03,2014,134,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4278,,,5/14/2014 19:09,2014,134,20,1000-05-19,spring,-83.2313,41.611,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/15/2014 15:29,2014,135,20,1000-05-19,spring,-83.2313,41.611,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4278,,,5/16/2014 0:34,2014,136,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4215,,,5/16/2014 3:07,2014,136,20,1000-05-19,spring,-83.2312,41.63121,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4292,,,5/16/2014 9:20,2014,136,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4292,,,5/16/2014 9:20,2014,136,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4293,,,5/16/2014 14:47,2014,136,20,1000-05-19,spring,-83.23835,41.617,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4284,,,5/17/2014 8:20,2014,137,20,1000-05-19,spring,-83.22055,41.6276,7201709,
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4284,,,5/17/2014 8:20,2014,137,20,1000-05-19,spring,-83.217,41.6394,7201709,
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4274,,,5/17/2014 9:30,2014,137,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4282,,,5/17/2014 9:30,2014,137,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4274,,,5/17/2014 9:36,2014,137,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4282,,,5/17/2014 9:59,2014,137,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4275,,,5/17/2014 10:00,2014,137,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4275,,,5/17/2014 10:02,2014,137,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4282,,,5/17/2014 10:22,2014,137,20,1000-05-19,spring,-83.2313,41.611,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4296,,,5/18/2014 3:55,2014,138,20,1000-05-19,spring,-83.217,41.6394,7201709,
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4289,,,5/18/2014 10:30,2014,138,20,1000-05-19,spring,-83.2241,41.6158,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4289,,,5/18/2014 10:43,2014,138,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4215,,,5/18/2014 17:46,2014,138,20,1000-05-19,spring,-83.23124,41.62447,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4215,,,5/18/2014 17:50,2014,138,20,1000-05-19,spring,-83.2312,41.63121,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4215,,,5/18/2014 17:53,2014,138,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/18/2014 18:02,2014,138,20,1000-05-19,spring,-83.2312,41.63121,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/18/2014 18:04,2014,138,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/18/2014 18:07,2014,138,20,1000-05-19,spring,-83.23835,41.617,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/18/2014 18:12,2014,138,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4290,,,5/18/2014 18:16,2014,138,20,1000-05-19,spring,-83.3383,41.6989,7197607,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4297,,,5/18/2014 21:57,2014,138,20,1000-05-19,spring,-83.217,41.6394,7201709,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4296,,,5/19/2014 17:49,2014,139,20,1000-05-19,spring,-83.2312,41.63121,7201708,
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4296,,,5/19/2014 17:51,2014,139,20,1000-05-19,spring,-83.217,41.6394,7201709,
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4296,,,5/19/2014 17:54,2014,139,20,1000-05-19,spring,-83.3383,41.6989,7197607,
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4196,,,5/19/2014 17:59,2014,139,20,1000-05-19,spring,-83.2312,41.63121,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4196,,,5/19/2014 17:59,2014,139,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4196,,,5/19/2014 18:01,2014,139,20,1000-05-19,spring,-83.23835,41.617,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4196,,,5/19/2014 18:02,2014,139,20,1000-05-19,spring,-83.2454,41.62301,7201708,nmg
mts_birds-canada_rtl_amered,,K4PWUX9R;4Q8CHN5A,mts,birds-canada-18,rtl,amered,American Redstart,4292,,,5/19/2014 18:38,2014,139,20,1000-05-19,spring,-83.2312,41.63121,7201708,nmg
