"mean","median","low95","up95","low85","up85","brdg","nonbrdg"
0.14427052995341,0.14406868091678,0.00820293351151197,0.30901930006937,0.0241857785482445,0.263193734339771,"3","171"
0.0983351898724172,0.0851255590761716,0.00322173741101396,0.253494691085902,0.010736033277107,0.214431504557356,"4","171"
0.143094757362402,0.143301089978003,0.00810372319028502,0.305204831434322,0.0244460919003649,0.260075470828567,"6","171"
0.0969681976042689,0.0837285598369147,0.00341480139361012,0.250018499889336,0.0103973609595291,0.211448559199955,"7","171"
0.143090732946486,0.143348587381366,0.00775677052812526,0.304000741559068,0.0244161578751605,0.260418363037165,"8","171"
0.118282689940379,0.109230102086207,0.00501980564815431,0.283301527924257,0.0147222536890651,0.23975125193517,"12","171"
0.134663760662161,0.133063580560018,0.00736431688607533,0.293965759375422,0.0215987611357811,0.250678911817714,"13","171"
0.246902858079113,0.238817252694901,0.113010511119736,0.424114268005952,0.147306400233609,0.362470124540377,"14","171"
0.140475572055247,0.1401894581561,0.00739925083921747,0.302877504007232,0.0227997196527422,0.259102156241004,"3","173"
0.0970418843435384,0.0832499838218559,0.00344466455236618,0.254867771575374,0.0100493208677789,0.215245408832817,"4","173"
0.141842831418551,0.142146227738337,0.00784035715326244,0.304038129809087,0.0229054530925777,0.258698877708703,"6","173"
0.0967953068774988,0.0840811387639701,0.00330587982201095,0.248762107475319,0.0104444390892233,0.210132269778906,"7","173"
0.143401843019331,0.142999157701254,0.00836526040832963,0.307618347001142,0.0247723639512604,0.260586925632343,"8","173"
0.114773899390526,0.104922049602796,0.00441888046431501,0.27764690976312,0.0137279304985863,0.23538291973304,"12","173"
0.135792183479289,0.133372306551963,0.00780492538495097,0.296657605359699,0.0220938099838376,0.25253718642338,"13","173"
0.123338869937245,0.114961378543653,0.00497355272232339,0.295354986425687,0.0151910637612384,0.249269696974812,"14","173"
0.141884672268626,0.14151084648608,0.00744073759000399,0.304929754968051,0.0227423971403046,0.259763968598791,"3","201"
0.0978214208196807,0.084449352189833,0.00362412689309599,0.253845702196734,0.0107645604457549,0.213961472021662,"4","201"
0.142405897272194,0.142766314677064,0.00880491636996,0.302933844201377,0.0249172540522582,0.258028186757752,"6","201"
0.096674817385328,0.0834969223788965,0.00367058084268643,0.247921026466027,0.0108450657663432,0.210667234666028,"7","201"
0.142518527077838,0.142484604738281,0.00795228770028171,0.305586885125094,0.0244253558851386,0.259873317854921,"8","201"
0.116428138246945,0.106833339195192,0.00476631448668954,0.279144671581506,0.0141972248449408,0.238777217275512,"12","201"
0.189744411700335,0.190530159826196,0.0477837901423741,0.343089303847137,0.0802256610352874,0.293312653729238,"13","201"
0.124333721490727,0.115617683888071,0.00513921793029557,0.298373949995651,0.0156601901287087,0.250080914067723,"14","201"
0.141576155938243,0.140884428065516,0.00797915265939363,0.304112505401306,0.0236268036495221,0.259993288842508,"3","202"
0.0985831695551438,0.0849304080266668,0.00362848803700658,0.255967138057527,0.0105827285142812,0.215887971455359,"4","202"
0.14220993081876,0.142221100729571,0.00817791166827862,0.304902319384092,0.0242972719521355,0.260515370236063,"6","202"
0.195767253953372,0.195944994034598,0.0641895508282505,0.334476316784798,0.0952365752231823,0.293184578738983,"7","202"
0.141369013197008,0.14055121217395,0.0078909940658647,0.303905701926619,0.0230175026907058,0.259559175277226,"8","202"
0.116616090087172,0.106524236741924,0.00492152873355896,0.277991265747075,0.0143608429664317,0.238466171362009,"12","202"
0.134911035725085,0.133002846986756,0.00713014914344044,0.293018000730744,0.0209724328344295,0.251212331717912,"13","202"
0.124644619506337,0.116700093305886,0.00529226263343215,0.295995839966309,0.0159933110194569,0.249619700974658,"14","202"
0.144452086604703,0.145426706335877,0.00816582070395296,0.306545363594517,0.0245448782959635,0.262300512509508,"3","203"
0.246283116801639,0.239729596095115,0.125290689143257,0.402965269021972,0.155824052084726,0.350273107378434,"4","203"
0.143826415944651,0.144510255485493,0.00891569798324102,0.305547811056675,0.0247480194687733,0.261115407811641,"6","203"
0.221324399623049,0.218365378014898,0.0956090664520896,0.364069727424678,0.128180820446855,0.318360478288995,"7","203"
0.143103299251611,0.142772703252836,0.00787600001254565,0.305178000389972,0.0249799658977106,0.260916177085295,"8","203"
